id_dato,id_sede,tipo_dato,valor
1,CALEG,twitter,https://twitter.com/ArgPortoAlegre
2,CALEG,facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
3,CALEG,instagram,https://www.instagram.com/argenportoalegre/
4,CALEG,sitio_web,https://caleg.cancilleria.gob.ar
5,CANTO,facebook,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/
6,CANTO,instagram,https://www.instagram.com/consulargantofagasta/
7,CANTO,sitio_web,https://canto.cancilleria.gob.ar/
8,CAREN,facebook,https://www.facebook.com/profile.php?id=100014152878593
9,CAREN,sitio_web,https://caren.cancilleria.gob.ar/
10,CASUN,sitio_web,https://www.casun.mrecic.gov.ar
11,CATLA,instagram,https://instagram.com/ARGenAtlanta
12,CATLA,facebook,https://facebook.com/ARGenAtlanta
13,CATLA,otro,https://www.linkedin.com/company/ARGenAtlanta
14,CATLA,twitter,https://x.com/ARGenAtlanta
15,CATLA,sitio_web,https://www.catla.mrecic.gov.ar
16,CBARC,facebook,https://www.facebook.com/ArgEnBarcelona/
17,CBARC,twitter,https://twitter.com/argenbarcelona
18,CBARC,instagram,https://www.instagram.com/argenbarcelona/
19,CBARC,youtube,https://www.youtube.com/@consuladoargentinoenbarcel2664
20,CBARC,otro,https://www.linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona
21,CBARC,sitio_web,https://cbarc.cancilleria.gob.ar/
22,CBEIJ,sitio_web,https://www.echin.cancilleria.gov.ar
23,CBELO,facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
24,CBELO,twitter,https://twitter.com/consgralbelo
25,CBELO,instagram,https://www.instagram.com/consgralbelo/
26,CBONN,facebook,https://www.facebook.com/ConsuladoArgentinoenBonn
27,CBONN,instagram,https://www.instagram.com/argentinaenbonn
28,CBONN,sitio_web,https://cbonn.cancilleria.gob.ar
29,CCADI,facebook,https://www.facebook.com/ArgentinaEnCadiz
30,CCADI,sitio_web,https://ccadi.cancilleria.gob.ar/
31,CCEST,facebook,https://www.facebook.com/ArgEnCiudaddeleste/
32,CCEST,instagram,https://www.instagram.com/argenciudaddeleste
33,CCEST,sitio_web,https://ccest.cancilleria.gov.ar/
34,CCHIC,twitter,https://twitter.com/argenchicago
35,CCHIC,facebook,https://www.facebook.com/ArgentinaEnChicago
36,CCHIC,youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
37,CCHIC,sitio_web,https://cchic.cancilleria.gob.ar/
38,CCOCH,facebook,https://www.facebook.com/ArgentinaEnCochabamba/
39,CCOCH,sitio_web,https://ccoch.cancilleria.gob.ar
40,CCOLO,facebook,https://www.facebook.com/ArgentinaenColonia
41,CCOLO,sitio_web,https://ccolo.mrecic.gov.ar
42,CCONC,sitio_web,http://www.cconc.mrecic.gov.ar/
43,CCURI,facebook,https://www.facebook.com/ArgEnCuritiba/
44,CCURI,instagram,https://instagram.com/argEncuritiba
45,CCURI,twitter,https://twitter.com/ARGenCuri
46,CCURI,sitio_web,https://ccuri.cancilleria.gob.ar
47,CENCA,sitio_web,https://www.cenca.mrecic.gov.ar
48,CFBEN,sitio_web,https://cfben.cancilleria.gov.ar
49,CFDIG,twitter,https://twitter.com/argentinaenfoz
50,CFDIG,facebook,https://www.facebook.com/ArgentinaEnFozDeIguazu
51,CFDIG,instagram,https://www.instagram.com/argentinaenfoz/
52,CFDIG,sitio_web,https://cfdig.cancilleria.gob.ar
53,CFLOR,facebook,https://www.facebook.com/cflor.mrecic.gov.ar
54,CFLOR,sitio_web,https://cflor.mrecic.gov.ar
55,CFRAN,sitio_web,https://www.cfran.mrecic.gov.ar
56,CGEST,facebook,https://www.facebook.com/ArgentinaEnEstambul
57,CGEST,instagram,https://www.instagram.com/consuladoargentinoenestambul/
58,CGEST,sitio_web,https://cgest.cancilleria.gob.ar
59,CGMUM,instagram,https://www.instagram.com/argenmumbai/
60,CGMUM,sitio_web,https://cgmum.cancilleria.gob.ar/
61,CGPAZ,sitio_web,https://cgpaz.cancilleria.gob.ar
62,CGTEL,facebook,https://www.facebook.com/ArgentinaEnIsrael/
63,CGTEL,sitio_web,http://cgtel.mrecic.gob.ar
64,CGUAN,sitio_web,https://cguan.cancilleria.gob.ar
65,CGUAY,sitio_web,https://cguay.cancilleria.gob.ar
66,CGVAN,sitio_web,https://cgvan.cancilleria.gob.ar
67,CHAMB,instagram,https://www.instagram.com/consulado.argentino.hamburgo
68,CHAMB,facebook,https://www.facebook.com/ARGenHamburgo
69,CHAMB,sitio_web,https://chamb.cancilleria.gob.ar
70,CHONG,facebook,https://www.facebook.com/ArgEnHongKong
71,CHONG,instagram,https://www.instagram.com/consuladoargentinohongkong/
72,CHONG,sitio_web,https://chong.cancilleria.gob.ar
73,CHOUS,twitter,https://x.com/ARGENHOUSTON
74,CHOUS,facebook,https://www.facebook.com/ArgentinaEnHouston/
75,CHOUS,instagram,https://www.instagram.com/consuladoarghouston/
76,CHOUS,sitio_web,https://www.chous.mrecic.gov.ar
77,CJOHA,sitio_web,http://www.cjoha.mrecic.gob.ar
78,CLANG,facebook,https://www.facebook.com/ArgentinaEnLosAngeles/
79,CLANG,instagram,https://www.instagram.com/arg_clang/
80,CLANG,twitter,https://twitter.com/arg_clang
81,CLANG,sitio_web,https://clang.cancilleria.gob.ar
82,CLIMA,sitio_web,https://clima.cancilleria.gob.ar
83,CLOND,instagram,https://www.instagram.com/consuladoargentinoenlondres/
84,CLOND,sitio_web,https://www.clond.cancilleria.gob.ar
85,CMADR,facebook,https://www.facebook.com/ArgentinaEnMadridEsp/
86,CMADR,instagram,https://www.instagram.com/consuladoargentinoenmadrid?igsh=MW1wMHQzbzhqMGwwbw==
87,CMADR,sitio_web,https://cmadr.cancilleria.gob.ar
88,CMALD,facebook,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
89,CMALD,instagram,https://www.instagram.com/consulado_argentino/
90,CMALD,sitio_web,https://cmald.cancilleria.gov.ar
91,CMALL,facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
92,CMALL,instagram,https://www.instagram.com/argentinaenpalmademallorca/
93,CMALL,sitio_web,https://cmall.mrecic.gov.ar
94,CMDEO,facebook,https://www.facebook.com/ArgentinaEnMontevideo/
95,CMDEO,instagram,https://www.instagram.com/consuladoargenmontevideo
96,CMDEO,sitio_web,https://cmdeo.mrecic.gov.ar
97,CMEXI,sitio_web,https://cmexi.cancilleria.gob.ar
98,CMIAM,facebook,https://es-la.facebook.com/consuladoargentino.miami/
99,CMIAM,instagram,https://instagram.com/consuladoargentinomia/
100,CMIAM,twitter,https://x.com/argenmiami/
101,CMIAM,sitio_web,https://www.cmiam.cancilleria.gov.ar
102,CMILA,instagram,https://www.instagram.com/argenmilano/
103,CMILA,youtube,https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ
104,CMILA,sitio_web,https://cmila.cancilleria.gob.ar
105,CMREA,facebook,https://www.facebook.com/ArgentinaEnMontreal
106,CMREA,instagram,https://www.instagram.com/consuladoargenmontreal/
107,CMREA,youtube,https://www.youtube.com/@consuladodelarepublicadear8025
108,CMREA,sitio_web,https://cmrea.cancilleria.gob.ar
109,CNYOR,facebook,https://www.facebook.com/ARGenNewYork
110,CNYOR,twitter,https://twitter.com/ARGenNewYork
111,CNYOR,instagram,https://www.instagram.com/argennewyork/
112,CNYOR,youtube,https://www.youtube.com/@ARGenNewYork
113,CNYOR,otro,https://www.linkedin.com/company/argennewyork
114,CNYOR,sitio_web,https://cnyor.cancilleria.gob.ar
115,CPABL,otro,https://consuladoargentinosp@gmail.com
116,CPABL,sitio_web,https://www.cpabl.mrecic.gov.ar
117,CPAYS,sitio_web,https://www.cpays.mrecic.gov.ar
118,CPCAR,sitio_web,https://cpcar.cancilleria.gob.ar
119,CPMON,facebook,https://www.facebook.com/ArgentinaEnPuertoMontt/
120,CPMON,sitio_web,http://cpmon.mrecic.gov.ar/
121,CRECI,facebook,https://www.facebook.com/ArgentinaEnBrasilRecife
122,CRECI,instagram,https://www.instagram.com/consuladoargentinorecife
123,CRECI,sitio_web,https://creci.mrecic.gov.ar
124,CRIOJ,facebook,https://www.facebook.com/ArgentinaEnRiodeJaneiro/
125,CRIOJ,instagram,https://www.instagram.com/consuladoargentinoenrio/
126,CRIOJ,sitio_web,https://crioj.cancilleria.gov.ar
127,CROMA,sitio_web,https://www.croma.mrecic.gov.ar
128,CSBAH,instagram,https://www.instagram.com/argentinaensalvador
129,CSBAH,facebook,https://www.facebook.com/ArgentinaenSalvador
